EPUId,KomornikNazwa,KomornikAdres,KomornikSadRejonowy,KomornikSadOkregowy,KomornikSadApelacyjny
1861,Marcin Osiczko Kancelaria Komornicza nr XX w Warszawie,Willowa 11/11 00-790 Warszawa,Sąd Rejonowy dla Warszawy-Mokotowa,Sąd Okręgowy w Warszawie,Sąd Apelacyjny w Warszawie
3173,Michał Iżel Kancelaria Komornicza nr XXVI w Poznaniu,Wierzbięcice 6/2 61-568 Poznań,Sąd Rejonowy Poznań-Nowe Miasto i Wilda,Sąd Okręgowy w Poznaniu,Sąd Apelacyjny w Poznaniu
1250,Mirosław Fiałkowski Kancelaria Komornicza nr II w Luboniu,Szafirowa 5 62-030 Luboń,Sąd Rejonowy Poznań-Nowe Miasto i Wilda,Sąd Okręgowy w Poznaniu,Sąd Apelacyjny w Poznaniu
2737,Krzysztof Staszewski Kancelaria Komornicza nr VI w Sulejówku,Kasztanowa 7/25 05-070 Sulejówek,Sąd Rejonowy w Mińsku Mazowieckim,Sąd Okręgowy w Siedlcach,Sąd Apelacyjny w Lublinie
1366,Michał Sikorski Kancelaria Komornicza nr III w Stargardzie,Pierwszej Brygady 35 73-110 Stargard,Sąd Rejonowy w Stargardzie,Sąd Okręgowy w Szczecinie,Sąd Apelacyjny w Szczecinie
1760,Kazimierz Zakrzewski Kancelaria Komornicza nr IV w Tczewie,Wincentego Pola 1 83-110 Tczew,Sąd Rejonowy w Tczewie,Sąd Okręgowy w Gdańsku,Sąd Apelacyjny w Gdańsku
1186,Tomasz Chojnacki Kancelaria Komornicza nr I w Obornikach,Kopernika 31/5 64-600 Oborniki,Sąd Rejonowy w Obornikach,Sąd Okręgowy w Poznaniu,Sąd Apelacyjny w Poznaniu
1807,Agnieszka Kuźnicka Kancelaria Komornicza nr IV w Garwolinie,Dobra 3/2LU 08-400 Garwolin,Sąd Rejonowy w Garwolinie,Sąd Okręgowy w Siedlcach,Sąd Apelacyjny w Lublinie
1279,Paweł Siebyła Kancelaria Komornicza nr V w Puławach,Wojska Polskiego 17/6 24-100 Puławy,Sąd Rejonowy w Puławach,Sąd Okręgowy w Lublinie,Sąd Apelacyjny w Lublinie
1624,Mariusz Kuźniak Kancelaria Komornicza nr IV w Pabianicach,Zamkowa 3 95-200 Pabianice,Sąd Rejonowy w Pabianicach,Sąd Okręgowy w Łodzi,Sąd Apelacyjny w Łodzi
2771,Dawid Filip Nowakowski Kancelaria Komornicza nr XXVI w Łodzi,Gdańska 90 lok. 3.2-1 90-508 Łódź,Sąd Rejonowy dla Łodzi-Śródmieścia,Sąd Okręgowy w Łodzi,Sąd Apelacyjny w Łodzi
2297,Michał Napiórkowski Kancelaria Komornicza nr VI w Olsztynie,Kościuszki 54/3 10-504 Olsztyn,Sąd Rejonowy w Olsztynie,Sąd Okręgowy w Olsztynie,Sąd Apelacyjny w Olsztynie
1403,Dariusz Karasiński Kancelaria Komornicza nr V w Środzie Wielkopolskiej,Os. Piastowskie 38 63-000 Środa Wielkopolska,Sąd Rejonowy w Środzie Wielkopolskiej,Sąd Okręgowy w Poznaniu,Sąd Apelacyjny w Poznaniu
991,Józef Kolański Kancelaria Komornicza nr II w Kaliszu,Wolności 17a 62-800 Kalisz,Sąd Rejonowy w Kaliszu,Sąd Okręgowy w Kaliszu,Sąd Apelacyjny w Łodzi
